#place,ALT,LAT,LONG,STATUS,Ru,Rc,Rl
Madrid,700,40.5,-3.67,uprunning,8,8,8
Sierra Negra,4550,18.16,-97.95,ongoing,7.36,7.36,7.36
Chiapas,522,16.75,-93.12,ongoing,9.11,9.11,9.11
Tacana,4060,15.13,-92.11,suspended,9.11,9.11,9.11
Guatemala,1490,14.63,-90.59,ongoing,9.11,9.11,9.11
Caracas-UCV,900,10.49,-66.89,suspended,11.69,11.69,11.69
Caracas-USB,900,10.49,-66.89,suspended,11.69,11.69,11.69
Mordor,4400,9.02,-70.8,cancelled,11.6,11.6,11.6
CIDA,3650,8.78,-70.871,suspended,11.6,11.6,11.6
Merida,1893,8.63,-71.15,suspended,11.6,11.6,11.6
Pico Espejo,4754,8.53,-71.064,suspended,11.6,11.6,11.6
Pamplona,2342,7.22,-72.39,cancelled,11.63,11.63,11.63
Berlin,3450,7.19,-72.88,planned,11.6,11.6,11.6
Bucaramanga,956,7.14,-73.12,uprunning,11.63,11.63,11.63
Bogotá,2600,4.60971,-74.08175,ongoing,7,7,7
Pasto,2530,1.21,-77.27,suspended,12.18,12.18,12.18
Quito-EPN,2850,-0.2,-78.5,suspended,12.18,12.18,12.18
Quito-USFQ,2200,-0.2,-78.5,ongoing,12.18,12.18,12.18
Chimborazo,5000,-1.47,-78.82,ongoing,12.2,12.2,12.2
Riobamba-EPOSCH,2750,-1.81,-78.74,ongoing,12.18,12.18,12.18
Campina Grande,550,-7.23,-35.88,uprunning,11.86,11.86,11.86
Marcapomacocha,4500,-11.41,-76.34,suspended,12,12,12
Huancayo,3370,-12.04,-75.3,suspended,12.03,12.03,12.03
Lima,150,-12.1,-77.02,ongoing,12.03,12.03,12.03
Cusco,3400,-13.52,-71.96,suspended,11.86,11.86,11.86
Imata,4600,-15.841,-71.091,planned,8,8,8
Chacaltaya,5230,-16.35,-68.13,ongoing,11.55,11.55,11.55
Cota Cota,3917,-16.41,-68.5,suspended,11.55,11.55,11.55
Characato,3150,-16.46544,-71.49327,planned,9,9,9
La Paz,3630,-16.49,-68.15,ongoing,11.55,11.55,11.55
Campinas,640,-22.9,-47.06,uprunning,9.73,9.73,9.73
Atacama,5105,-23.005778,-67.759167,planned,8,8,8
Sao Paulo-UFABC,760,-23.38,-46.31,ongoing,9.73,9.73,9.73
S. A. Cobres,4820,-24.71,-66.38,planned,9.5,9.5,9.5
Asuncion,136,-25.19,-57.3,planned,9.4,9.4,9.4
Tucuman,430,-26.5,-65.11,ongoing,9.4,9.4,9.4
La Serena,28,-29.9,-71.25,uprunning,9.25,9.25,9.25
Vina Del Mar,347,-33.07,-71.55,ongoing,9.15,9.15,9.15
Lima,25,-33.97,-59.21,uprunning,9,9,9
Buenos Aires,0,-34.54,-58.44,ongoing,8.19,8.19,8.19
Malargue,1450,-35.45,-69.57,uprunning,9,9,9
Bariloche,850,-41.15,-71.3,uprunning,7.84,7.84,7.84
Machu Picchu,10,-62.09,-58.47,ongoing,2.19,2.19,2.19
Marambio,200,-64.24,-56.62,uprunning,2.19,2.19,2.19
San Martin ,10,-68.13,-67.102222,uprunning,1.69,1.69,1.69
